 ,, ,,,,,,,,,,,,2454,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
Date,Order name,Client ,Status,Date requested,Date of delivery,Type1,Amt,Type2,Amt,Permit required,Note,KLIC ,Google Maps,PDOK,Waterkering ,Oppervlaktewater,Peil,EV1,EV2,EV3,EV4,EV5,Email1,Email2,Email3,Email4,Email5,Email6,,,,,,,,,,,,,,,,,,
4-3-2026,"3D26V820 Amsterdam, Piet Heinkade",3D,Order received,25-Mar-2026,,B,1,,,-,,,"Piet Heinkade 193, 1019 HC Amsterdam","https://app.pdok.nl/viewer/#x=123153.56&y=487818.19&z=11.9322&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://maps.waternet.nl/portal/apps/experiencebuilder/experience/?id=36500ca8332b489182bf9ab83427cbc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-3-2026,"3D26V819 Ermelo, Buitenbrinkweg",3D,Waiting for approval,24-Mar-2026,16-Mar-2026,B,1,,,-,,26O0036028,"Buitenbrinkweg 28, 3853 LX Ermelo","https://app.pdok.nl/viewer/#x=168362.60&y=480806.70&z=14.3793&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://www.vallei-veluwe.nl/actueel/actuele-thema/geodata/,,,,,,,,Gem. Ermelo,,,,,,,,,,,,,,,,,,,,,,,
3-3-2026,"BT26V204 Zwolle, Gasthuisdijk",BT,In progress,24-Mar-2026,,N,1,,,-,,26O0036029,"Gasthuisdijk 16, 8041 AG Zwolle","https://app.pdok.nl/viewer/#x=201580.88&y=503621.84&z=14.0000&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://wdodelta.maps.arcgis.com/apps/instant/basic/index.html?appid=b84164114b70469ca1ba12d662946309,,,Nederlandse Gasunie Oost,,,,,Nederlandse Gasunie Oost,,,,,,,,,,,,,,,,,,,,,,,
27-2-2026,3D26V818 Nijkerk,3D,Cancelled,20-Mar-2026,,B,2,,,-,Cancelled indeed,26O0036025,"https://www.google.com/maps/@52.2260445,5.4612253,820m/data=!3m1!1e3!4m6!1m2!10m1!1e1!11m2!2ss7K7QXsb15GsPSjQBcSdKA!3e3?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D","https://app.pdok.nl/viewer/#x=160026.16&y=470877.61&z=12.4197&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://open-geodata-portaal-valleienveluwe.hub.arcgis.com/apps/e75d12ac1ccb47daa53c1b53916be4e9/explore,https://open-geodata-portaal-valleienveluwe.hub.arcgis.com/,https://open-geodata-portaal-valleienveluwe.hub.arcgis.com/datasets/e8367b7d29fb44bf9b875541ca1d0c53_0/explore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-2-2026,"TM26V229 Nijmegen, Aquilastraat",TM,In progress,20-Mar-2026,,B,1,,,-,,26O0036024,"Aquilastraat 7, 6515 DV Nijmegen","https://app.pdok.nl/viewer/#x=186801.46&y=431884.67&z=14.0000&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://experience.arcgis.com/experience/ff9e6ee747524d3cbce7712338ad0e89/page/Pagina-1,,,,,,,,Gem. Nijmegen,,,,,,,,,,,,,,,,,,,,,,,
27-2-2026,"KB26V412 Blokzijl, Marknesserweg N333",KB,In progress,20-Mar-2026,,N,1,,,P,,26O0036027,"Marknesserweg 1, 8356 VP Blokzijl","https://app.pdok.nl/viewer/#x=193339.62&y=526774.14&z=14.0000&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://experience.arcgis.com/experience/f3a714b052e04bb8afe63840ba9b7243/,,,,,,,,Gem. Steenwijkerland,,,,,,,,,,,,,,,,,,,,,,,
26-2-2026,"KB26V411 Amsterdam, Duinluststraat",KB,In progress,19-Mar-2026,,Z,1,,,-,,26O0036022,"Duinluststraat 34, 1024 WC Amsterdam","https://app.pdok.nl/viewer/#x=125389.82&y=489818.77&z=15.0000&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://kaarten.hhnk.nl/portal/apps/webappviewer/index.html?id=d2de3caed0ba442290991e1f5b404e1a,,,,,,,,Vattenfall Warmte,,,,,,,,,,,,,,,,,,,,,,,
26-2-2026,"HS26V007 Rotterdam, Cromme Meth",HS,In progress,19-Mar-2026,,Z,1,,,-,,26O0036023,"Cromme Meth 111, 3191 TG Hoogvliet Rotterdam","https://app.pdok.nl/viewer/#x=84360.65&y=431138.20&z=14.0000&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://wshd.maps.arcgis.com/apps/instant/sidebar/index.html?appid=e9fc292e4b9446068b8fcc1b938df522,https://opendata-wshd.hub.arcgis.com/,,,,,,,Rijkswaterstaat West-Nederland Zuid,,,,,,,,,,,,,,,,,,,,,,,
25-2-2026,"TM26V228 Velp, Rozendaalselaan",TM,In progress,18-Mar-2026,,N,1,,,-,,25O0089460,"Rozendaalselaan 61, 6881 LB Velp","https://app.pdok.nl/viewer/#x=194945.89&y=445910.50&z=14.0000&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://wrij.maps.arcgis.com/apps/instant/sidebar/index.html?appid=bfd392c53e014c3aafc0cb588efd8a52,,,,,,,,Gem. Rheden,,,,,,,,,,,,,,,,,,,,,,,
25-2-2026,"TM26V227 Haaksbergen, Huttenweg",TM,In progress,18-Mar-2026,,N,1,,,-,,26O0036019,"https://www.google.com/maps/place/52%C2%B008'33.9%22N+6%C2%B044'53.7%22E/@52.1430449,6.7481019,145m/data=!3m1!1e3!4m4!3m3!8m2!3d52.142759!4d6.74825?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D","https://app.pdok.nl/viewer/#x=248175.84&y=462505.12&z=14.0000&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://wrij.maps.arcgis.com/apps/instant/sidebar/index.html?appid=bfd392c53e014c3aafc0cb588efd8a52,,,,,,,,Gem. Haaksbergen,,,,,,,,,,,,,,,,,,,,,,,
25-2-2026,"HS26V006 Ridderkerk, Stadhouderslaan",HS,In progress,18-Mar-2026,,Z,1,,,-,,26O0036020,"https://www.google.com/maps/place/51%C2%B052'56.6%22N+4%C2%B036'11.9%22E/@51.8824563,4.6032386,174m/data=!3m1!1e3!4m4!3m3!8m2!3d51.882391!4d4.60331?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D","https://app.pdok.nl/viewer/#x=101025.71&y=432954.23&z=14.0000&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://wshd.maps.arcgis.com/apps/instant/sidebar/index.html?appid=e9fc292e4b9446068b8fcc1b938df522,https://opendata-wshd.hub.arcgis.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-2-2026,3D26V822 Velsen-Noord (HDD29),3D,Waiting for approval,17-Mar-2026,17-Mar-2026,B,1,,,,PRIO ,26O0042028,https://maps.app.goo.gl/8wENoY5De2L9auXX9,"https://app.pdok.nl/viewer/#x=105511.94&y=498316.78&z=11.3735&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://kaarten.hhnk.nl/portal/apps/webappviewer/index.html?id=d2de3caed0ba442290991e1f5b404e1a,https://kaarten.hhnk.nl/portal/apps/experiencebuilder/experience/?id=44d528c37de546e9846eb2bcaebee084,,Nederlandse Gasunie West,Tennet: HS,,,,Nederlandse Gasunie West,Tennet HS+DATA,,,,,,,,,,,,,,,,,,,,,,
